issue;start;result;unit ready;fetch;store;
1;1;4;5;9;
3;3;6;7;11;
5;5;8;9;13;
7;7;10;11;15;
9;9;12;13;17;
11;11;21;22; ;
12;12;15;16;20;
14;21;31;32; ;
22;22;25;26;30;
24;25;35;36; ;
26;35;39;40; ;
36;36;39;40;44;
38;40;44;45; ;
41;41;44;45;49;
43;43;46;47;51;
45;45;61;60; ;
46;46;49;50;54;
48;48;51;52;56;
50;50;53;54;58;
52;52;62;63; ;
53;53;56;57;61;
55;62;72;73; ;
63;63;66;67;71;
65;66;76;77; ;
67;76;80;81; ;
77;77;80;81;85;
79;81;85;86; ;
82;82;85;86;90;
84;84;87;88;92;
86;86;102;101; ;
87;87;90;91;95;
89;89;92;93;97;
91;91;94;95;99;
93;93;103;104; ;
94;94;97;98;102;
96;103;113;114; ;
104;104;107;108;112;
106;107;117;118; ;
108;117;121;122; ;
118;118;121;122;126;
120;122;126;127; ;
123;123;126;127;131;
125;125;128;129;133;
127;127;143;142; ;
128;128;131;132;136;
130;130;133;134;138;
132;132;135;136;140;
134;134;144;145; ;
135;135;138;139;143;
137;144;154;155; ;
145;145;148;149;153;
147;148;158;159; ;
149;158;162;163; ;
159;159;162;163;167;
161;163;167;168; ;
164;164;167;168;172;
166;166;169;170;174;
168;168;184;183; ;
169;169;172;173;177;
171;171;174;175;179;
173;173;176;177;181;
175;175;185;186; ;
176;176;179;180;184;
178;185;195;196; ;
186;186;189;190;194;
188;189;199;200; ;
190;199;203;204; ;
200;200;203;204;208;
202;204;208;209; ;
205;205;208;209;213;
207;207;210;211;215;
209;209;225;224; ;230;
